key	name	hemi	roi	color	origin_name	rs_network
295	FOP2_l	l	FOP2	100 158 54	L_FOP2_ROI	4
296	PFt_l	l	PFt	131 224 138	L_PFt_ROI	3
297	AIP_l	l	AIP	138 220 170	L_AIP_ROI	3
298	EC_l	l	EC	49 50 36	L_EC_ROI	5
299	PreS_l	l	PreS	92 62 90	L_PreS_ROI	1
300	H_l	l	H	59 59 41	L_H_ROI	0
301	ProS_l	l	ProS	92 65 176	L_ProS_ROI	1
302	PeEc_l	l	PeEc	62 65 54	L_PeEc_ROI	5
303	STGa_l	l	STGa	59 46 28	L_STGa_ROI	7
304	PBelt_l	l	PBelt	203 32 8	L_PBelt_ROI	2
305	A5_l	l	A5	98 43 8	L_A5_ROI	7
306	PHA1_l	l	PHA1	71 53 77	L_PHA1_ROI	1
307	PHA3_l	l	PHA3	102 108 120	L_PHA3_ROI	1
308	STSda_l	l	STSda	78 54 36	L_STSda_ROI	7
309	STSdp_l	l	STSdp	71 61 40	L_STSdp_ROI	7
310	STSvp_l	l	STSvp	72 61 59	L_STSvp_ROI	7
311	TGd_l	l	TGd	36 38 26	L_TGd_ROI	5
312	TE1a_l	l	TE1a	10 16 0	L_TE1a_ROI	7
313	TE1p_l	l	TE1p	97 104 96	L_TE1p_ROI	5
314	TE2a_l	l	TE2a	67 66 59	L_TE2a_ROI	5
315	TF_l	l	TF	64 73 58	L_TF_ROI	5
316	TE2p_l	l	TE2p	116 145 132	L_TE2p_ROI	3
317	PHT_l	l	PHT	221 254 227	L_PHT_ROI	3
318	PH_l	l	PH	87 130 164	L_PH_ROI	3
319	TPOJ1_l	l	TPOJ1	125 96 70	L_TPOJ1_ROI	7
320	TPOJ2_l	l	TPOJ2	155 163 140	L_TPOJ2_ROI	7
321	TPOJ3_l	l	TPOJ3	118 145 145	L_TPOJ3_ROI	1
322	DVT_l	l	DVT	117 110 189	L_DVT_ROI	1
323	PGp_l	l	PGp	154 187 229	L_PGp_ROI	1
324	IP2_l	l	IP2	180 170 179	L_IP2_ROI	6
325	IP1_l	l	IP1	118 119 127	L_IP1_ROI	6
326	IP0_l	l	IP0	115 162 208	L_IP0_ROI	3
327	PFop_l	l	PFop	184 204 145	L_PFop_ROI	3
328	PF_l	l	PF	255 255 228	L_PF_ROI	4
329	PFm_l	l	PFm	134 107 115	L_PFm_ROI	7
330	PGi_l	l	PGi	57 68 52	L_PGi_ROI	7
331	PGs_l	l	PGs	66 73 62	L_PGs_ROI	7
332	V6A_l	l	V6A	39 91 167	L_V6A_ROI	1
333	VMV1_l	l	VMV1	61 63 159	L_VMV1_ROI	1
334	VMV3_l	l	VMV3	50 55 163	L_VMV3_ROI	1
335	PHA2_l	l	PHA2	87 89 88	L_PHA2_ROI	1
336	V4t_l	l	V4t	14 80 133	L_V4t_ROI	1
337	FST_l	l	FST	86 155 155	L_FST_ROI	3
338	V3CD_l	l	V3CD	17 50 185	L_V3CD_ROI	1
339	LO3_l	l	LO3	52 93 162	L_LO3_ROI	1
340	VMV2_l	l	VMV2	67 62 163	L_VMV2_ROI	1
341	31pd_l	l	31pd	62 27 52	L_31pd_ROI	7
342	31a_l	l	31a	142 103 131	L_31a_ROI	7
343	VVC_l	l	VVC	54 63 127	L_VVC_ROI	1
344	25_l	l	25	35 27 14	L_25_ROI	7
345	s32_l	l	s32	48 38 24	L_s32_ROI	7
346	pOFC_l	l	pOFC	83 53 58	L_pOFC_ROI	5
347	PoI1_l	l	PoI1	172 109 103	L_PoI1_ROI	4
348	Ig_l	l	Ig	105 128 35	L_Ig_ROI	2
349	FOP5_l	l	FOP5	161 103 105	L_FOP5_ROI	4
350	p10p_l	l	p10p	92 67 79	L_p10p_ROI	7
351	p47r_l	l	p47r	126 123 113	L_p47r_ROI	7
